last_name,img,first_name,party_short_name,icpsr,state,lis_member_id,bioguide_id,state_abbrev,seo_name,member_full,name,party_code
Baldwin,029940.jpg,Tammy,Democrat,29940,WI,S354,B001230,WI,tammy-baldwin,Baldwin (D-WI),"BALDWIN, Tammy",100
Barrasso,040707.jpg,John,Republican,40707,WY,S317,B001261,WY,john-a-barrasso,Barrasso (R-WY),"BARRASSO, John A.",200
Bennet,040910.jpg,Michael,Democrat,40910,CO,S330,B001267,CO,michael-f-bennet,Bennet (D-CO),"BENNET, Michael F.",100
Blackburn,020351.jpg,Marsha,Republican,20351,TN,S396,B001243,TN,marsha-blackburn,Blackburn (R-TN),"BLACKBURN, Marsha",200
Blumenthal,041101.jpg,Richard,Democrat,41101,CT,S341,B001277,CT,richard-blumenthal,Blumenthal (D-CT),"BLUMENTHAL, Richard",100
Blunt,029735.jpg,Roy,Republican,29735,MO,S342,B000575,MO,roy-blunt,Blunt (R-MO),"BLUNT, Roy",200
Booker,041308.jpg,Cory,Democrat,41308,NJ,S370,B001288,NJ,cory-anthony-booker,Booker (D-NJ),"BOOKER, Cory Anthony",100
Boozman,020101.jpg,John,Republican,20101,AR,S343,B001236,AR,john-boozman,Boozman (R-AR),"BOOZMAN, John",200
Braun,041900.jpg,Mike,Republican,41900,IN,S397,B001310,IN,michael-braun,Braun (R-IN),"BRAUN, Michael",200
Brown,029389.jpg,Sherrod,Democrat,29389,OH,S307,B000944,OH,sherrod-brown,Brown (D-OH),"BROWN, Sherrod",100
Burr,029548.jpg,Richard,Republican,29548,NC,S300,B001135,NC,richard-m-burr,Burr (R-NC),"BURR, Richard M.",200
Cantwell,039310.jpg,Maria,Democrat,39310,WA,S275,C000127,WA,maria-e-cantwell,Cantwell (D-WA),"CANTWELL, Maria E.",100
Capito,020146.jpg,Shelley,Republican,20146,WV,S372,C001047,WV,shelley-moore-capito,Capito (R-WV),"CAPITO, Shelley Moore",200
Cardin,015408.jpg,Ben,Democrat,15408,MD,S308,C000141,MD,benjamin-louis-cardin,Cardin (D-MD),"CARDIN, Benjamin Louis",100
Carper,015015.jpg,Thomas,Democrat,15015,DE,S277,C000174,DE,thomas-richard-carper,Carper (D-DE),"CARPER, Thomas Richard",100
Casey,040703.jpg,Bob,Democrat,40703,PA,S309,C001070,PA,robert-bob-casey-jr,Casey (D-PA),"CASEY, Robert (Bob), Jr.",100
Cassidy,020919.jpg,Bill,Republican,20919,LA,S373,C001075,LA,bill-cassidy,Cassidy (R-LA),"CASSIDY, Bill",200
Collins,049703.jpg,Susan,Republican,49703,ME,S252,C001035,ME,susan-margaret-collins,Collins (R-ME),"COLLINS, Susan Margaret",200
Coons,040916.jpg,Christopher,Democrat,40916,DE,S337,C001088,DE,christopher-a-coons,Coons (D-DE),"COONS, Christopher A.",100
Cornyn,040305.jpg,John,Republican,40305,TX,S287,C001056,TX,john-cornyn,Cornyn (R-TX),"CORNYN, John",200
Cortez Masto,041700.jpg,Catherine,Democrat,41700,NV,S385,C001113,NV,catherine-marie-cortez-masto,Cortez Masto (D-NV),"CORTEZ MASTO, Catherine Marie",100
Cotton,021301.jpg,Tom,Republican,21301,AR,S374,C001095,AR,tom-cotton,Cotton (R-AR),"COTTON, Tom",200
Cramer,021350.jpg,Kevin,Republican,21350,ND,S398,C001096,ND,kevin-cramer,Cramer (R-ND),"CRAMER, Kevin",200
Crapo,029345.jpg,Mike,Republican,29345,ID,S266,C000880,ID,michael-dean-crapo,Crapo (R-ID),"CRAPO, Michael Dean",200
Cruz,041304.jpg,Ted,Republican,41304,TX,S355,C001098,TX,rafael-edward-ted-cruz,Cruz (R-TX),"CRUZ, Rafael Edward (Ted)",200
Daines,021338.jpg,Steve,Republican,21338,MT,S375,D000618,MT,steve-daines,Daines (R-MT),"DAINES, Steve",200
Duckworth,021325.jpg,Tammy,Democrat,21325,IL,S386,D000622,IL,tammy-duckworth,Duckworth (D-IL),"DUCKWORTH, Tammy",100
Durbin,015021.jpg,Richard,Democrat,15021,IL,S253,D000563,IL,richard-joseph-durbin,Durbin (D-IL),"DURBIN, Richard Joseph",100
Ernst,041502.jpg,Joni,Republican,41502,IA,S376,E000295,IA,joni-ernst,Ernst (R-IA),"ERNST, Joni",200
Feinstein,049300.jpg,Dianne,Democrat,49300,CA,S221,F000062,CA,dianne-feinstein,Feinstein (D-CA),"FEINSTEIN, Dianne",100
Fischer,041302.jpg,Deb,Republican,41302,NE,S357,F000463,NE,debra-deb-fischer,Fischer (R-NE),"FISCHER, Debra (Deb)",200
Gillibrand,020735.jpg,Kirsten,Democrat,20735,NY,S331,G000555,NY,kirsten-gillibrand,Gillibrand (D-NY),"GILLIBRAND, Kirsten",100
Graham,029566.jpg,Lindsey,Republican,29566,SC,S293,G000359,SC,lindsey-o-graham,Graham (R-SC),"GRAHAM, Lindsey O.",200
Grassley,014226.jpg,Charles,Republican,14226,IA,S153,G000386,IA,charles-ernest-grassley,Grassley (R-IA),"GRASSLEY, Charles Ernest",200
Hagerty,042100.jpg,Bill,Republican,42100,TN,S407,H000601,TN,william-francis-bill-hagerty,Hagerty (R-TN),"HAGERTY, William Francis (Bill)",200
Hassan,041702.jpg,Maggie,Democrat,41702,NH,S388,H001076,NH,margaret-maggie-hassan,Hassan (D-NH),"HASSAN, Margaret (Maggie)",100
Hawley,041901.jpg,Josh,Republican,41901,MO,S399,H001089,MO,joshua-david-hawley,Hawley (R-MO),"HAWLEY, Joshua David",200
Heinrich,020930.jpg,Martin,Democrat,20930,NM,S359,H001046,NM,martin-heinrich,Heinrich (D-NM),"HEINRICH, Martin",100
Hickenlooper,042101.jpg,John,Democrat,42101,CO,S408,H000273,CO,john-wright-hickenlooper,Hickenlooper (D-CO),"HICKENLOOPER, John Wright",100
Hirono,020713.jpg,Mazie,Democrat,20713,HI,S361,H001042,HI,mazie-hirono,Hirono (D-HI),"HIRONO, Mazie",100
Hoeven,041107.jpg,John,Republican,41107,ND,S344,H001061,ND,john-hoeven,Hoeven (R-ND),"HOEVEN, John",200
Hyde-Smith,041707.jpg,Cindy,Republican,41707,MS,S395,H001079,MS,cindy-hyde-smith,Hyde-Smith (R-MS),"HYDE-SMITH, Cindy",200
Inhofe,015424.jpg,Jim,Republican,15424,OK,S236,I000024,OK,james-mountain-inhofe,Inhofe (R-OK),"INHOFE, James Mountain",200
Johnson,041111.jpg,Ron,Republican,41111,WI,S345,J000293,WI,ron-johnson,Johnson (R-WI),"JOHNSON, Ron",200
Kaine,041305.jpg,Timothy,Democrat,41305,VA,S362,K000384,VA,timothy-michael-tim-kaine,Kaine (D-VA),"KAINE, Timothy Michael (Tim)",100
Kelly,041905.jpg,Mark,Democrat,41905,AZ,S406,K000377,AZ,mark-edward-kelly,Kelly (D-AZ),"KELLY, Mark Edward",100
Kennedy,041703.jpg,John,Republican,41703,LA,S389,K000393,LA,john-neely-kennedy,Kennedy (R-LA),"KENNEDY, John Neely",200
King,041300.jpg,Angus,Independent,41300,ME,S363,K000383,ME,angus-stanley-king-jr,King (I-ME),"KING, Angus Stanley, Jr.",328
Klobuchar,040700.jpg,Amy,Democrat,40700,MN,S311,K000367,MN,amy-klobuchar,Klobuchar (D-MN),"KLOBUCHAR, Amy",100
Lankford,021166.jpg,James,Republican,21166,OK,S378,L000575,OK,james-lankford,Lankford (R-OK),"LANKFORD, James",200
Leahy,014307.jpg,Patrick,Democrat,14307,VT,S057,L000174,VT,patrick-joseph-leahy,Leahy (D-VT),"LEAHY, Patrick Joseph",100
Lee,041110.jpg,Mike,Republican,41110,UT,S346,L000577,UT,mike-lee,Lee (R-UT),"LEE, Mike",200
Lujan,020932.jpg,Ben,Democrat,20932,NM,S409,L000570,NM,ben-ray-lujan,Lujan (D-NM),"LUJÁN, Ben Ray",100
Lummis,020953.jpg,Cynthia,Republican,20953,WY,S410,L000571,WY,cynthia-m-lummis,Lummis (R-WY),"LUMMIS, Cynthia M.",200
Manchin,040915.jpg,Joseph,Democrat,40915,WV,S338,M001183,WV,joe-manchin-iii,Manchin (D-WV),"MANCHIN, Joe, III",100
Markey,014435.jpg,Edward,Democrat,14435,MA,S369,M000133,MA,edward-john-markey,Markey (D-MA),"MARKEY, Edward John",100
Marshall,021734.jpg,Roger,Republican,21734,KS,S411,M001198,KS,roger-wayne-marshall,Marshall (R-KS),"MARSHALL, Roger Wayne",200
McConnell,014921.jpg,Mitch,Republican,14921,KY,S174,M000355,KY,addison-mitchell-mitch-mcconnell,McConnell (R-KY),"McCONNELL, Addison Mitchell (Mitch)",200
Menendez,029373.jpg,Robert,Democrat,29373,NJ,S306,M000639,NJ,robert-menendez,Menendez (D-NJ),"MENENDEZ, Robert",100
Merkley,040908.jpg,Jeff,Democrat,40908,OR,S322,M001176,OR,jeff-merkley,Merkley (D-OR),"MERKLEY, Jeff",100
Moran,029722.jpg,Jerry,Republican,29722,KS,S347,M000934,KS,jerry-moran,Moran (R-KS),"MORAN, Jerry",200
Murkowski,040300.jpg,Lisa,Republican,40300,AK,S288,M001153,AK,lisa-murkowski,Murkowski (R-AK),"MURKOWSKI, Lisa",200
Murphy,020707.jpg,Christopher,Democrat,20707,CT,S364,M001169,CT,christopher-murphy,Murphy (D-CT),"MURPHY, Christopher",100
Murray,049308.jpg,Patty,Democrat,49308,WA,S229,M001111,WA,patty-murray,Murray (D-WA),"MURRAY, Patty",100
Ossoff,042103.jpg,Jon,Democrat,42103,GA,S414,O000174,GA,thomas-jonathan-jon-ossoff,Ossoff (D-GA),"OSSOFF, Thomas Jonathan (Jon)",100
Padilla,042104.jpg,Alex,Democrat,42104,CA,S413,P000145,CA,alejandro-alex-padilla,Padilla (D-CA),"PADILLA, Alejandro (Alex)",100
Paul,041104.jpg,Rand,Republican,41104,KY,S348,P000603,KY,rand-paul,Paul (R-KY),"PAUL, Rand",200
Peters,020923.jpg,Gary,Democrat,20923,MI,S380,P000595,MI,gary-c-peters,Peters (D-MI),"PETERS, Gary C.",100
Portman,029386.jpg,Rob,Republican,29386,OH,S349,P000449,OH,robert-jones-rob-portman,Portman (R-OH),"PORTMAN, Robert Jones (Rob)",200
Reed,029142.jpg,John,Democrat,29142,RI,S259,R000122,RI,john-f-jack-reed,Reed (D-RI),"REED, John F. (Jack)",100
Risch,040902.jpg,James,Republican,40902,ID,S323,R000584,ID,james-risch,Risch (R-ID),"RISCH, James",200
Romney,041902.jpg,Mitt,Republican,41902,UT,S401,R000615,UT,willard-mitt-mitt-romney,Romney (R-UT),"ROMNEY, Willard Mitt (Mitt)",200
Rosen,021743.jpg,Jacklyn,Democrat,21743,NV,S402,R000608,NV,jacklyn-sheryl-rosen,Rosen (D-NV),"ROSEN, Jacklyn Sheryl",100
Rounds,041505.jpg,Mike,Republican,41505,SD,S381,R000605,SD,marion-michael-mike-rounds,Rounds (R-SD),"ROUNDS, Marion Michael (Mike)",200
Rubio,041102.jpg,Marco,Republican,41102,FL,S350,R000595,FL,marco-rubio,Rubio (R-FL),"RUBIO, Marco",200
Sanders,029147.jpg,Bernard,Independent,29147,VT,S313,S000033,VT,bernard-sanders,Sanders (I-VT),"SANDERS, Bernard",328
Sasse,041503.jpg,Ben,Republican,41503,NE,S382,S001197,NE,benjamin-eric-sasse,Sasse (R-NE),"SASSE, Benjamin Eric",200
Schatz,041112.jpg,Brian,Democrat,41112,HI,S353,S001194,HI,brian-emanuel-schatz,Schatz (D-HI),"SCHATZ, Brian Emanuel",100
Schumer,014858.jpg,Charles,Democrat,14858,NY,S270,S000148,NY,charles-ellis-chuck-schumer,Schumer (D-NY),"SCHUMER, Charles Ellis (Chuck)",100
Scott,041903.jpg,Rick,Republican,41903,FL,S404,S001217,FL,richard-lynn-rick-scott,Scott (R-FL),"SCOTT, Richard Lynn (Rick)",200
Scott,021173.jpg,Tim,Republican,21173,SC,S365,S001184,SC,tim-scott,Scott (R-SC),"SCOTT, Tim",200
Shaheen,040906.jpg,Jeanne,Democrat,40906,NH,S324,S001181,NH,jeanne-shaheen,Shaheen (D-NH),"SHAHEEN, Jeanne",100
Shelby,094659.jpg,Richard,Republican,94659,AL,S184,S000320,AL,richard-c-shelby,Shelby (R-AL),"SHELBY, Richard C.",200
Sinema,021300.jpg,Kyrsten,Democrat,21300,AZ,S403,S001191,AZ,kyrsten-sinema,Sinema (D-AZ),"SINEMA, Kyrsten",100
Smith,041706.jpg,Tina,Democrat,41706,MN,S394,S001203,MN,tina-smith,Smith (D-MN),"SMITH, Tina",100
Stabenow,029732.jpg,Debbie,Democrat,29732,MI,S284,S000770,MI,deborah-ann-stabenow,Stabenow (D-MI),"STABENOW, Deborah Ann",100
Sullivan,041500.jpg,Dan,Republican,41500,AK,S383,S001198,AK,daniel-scott-sullivan,Sullivan (R-AK),"SULLIVAN, Daniel Scott",200
Tester,040702.jpg,Jon,Democrat,40702,MT,S314,T000464,MT,jon-tester,Tester (D-MT),"TESTER, Jon",100
Thune,029754.jpg,John,Republican,29754,SD,S303,T000250,SD,john-thune,Thune (R-SD),"THUNE, John",200
Tillis,041504.jpg,Thomas,Republican,41504,NC,S384,T000476,NC,thomas-roland-thom-tillis,Tillis (R-NC),"TILLIS, Thomas Roland (Thom)",200
Toomey,029935.jpg,Patrick,Republican,29935,PA,S351,T000461,PA,patrick-joseph-toomey,Toomey (R-PA),"TOOMEY, Patrick Joseph",200
Tuberville,042102.jpg,Tommy,Republican,42102,AL,S412,T000278,AL,thomas-hawley-tommy-tuberville,Tuberville (R-AL),"TUBERVILLE, Thomas Hawley (Tommy)",200
Van Hollen,020330.jpg,Chris,Democrat,20330,MD,S390,V000128,MD,christopher-van-hollen,Van Hollen (D-MD),"VAN HOLLEN, Christopher",100
Warner,040909.jpg,Mark,Democrat,40909,VA,S327,W000805,VA,mark-warner,Warner (D-VA),"WARNER, Mark",100
Warnock,042105.jpg,Raphael,Democrat,42105,GA,S415,W000790,GA,raphael-gamaliel-warnock,Warnock (D-GA),"WARNOCK, Raphael Gamaliel",100
Warren,041301.jpg,Elizabeth,Democrat,41301,MA,S366,W000817,MA,elizabeth-warren,Warren (D-MA),"WARREN, Elizabeth",100
Whitehouse,040704.jpg,Sheldon,Democrat,40704,RI,S316,W000802,RI,sheldon-whitehouse,Whitehouse (D-RI),"WHITEHOUSE, Sheldon",100
Wicker,029534.jpg,Roger,Republican,29534,MS,S318,W000437,MS,roger-f-wicker,Wicker (R-MS),"WICKER, Roger F.",200
Wyden,014871.jpg,Ron,Democrat,14871,OR,S247,W000779,OR,ronald-lee-wyden,Wyden (D-OR),"WYDEN, Ronald Lee",100
Young,021133.jpg,Todd,Republican,21133,IN,S391,Y000064,IN,todd-young,Young (R-IN),"YOUNG, Todd",200
,099913.jpg,,Democrat,99913,,,,USA,joseph-robinette-biden-jr,,"BIDEN, Joseph Robinette, Jr.",100
Harris,041701.jpg,Kamala,Democrat,41701,CA,S387,H001075,CA,kamala-devi-harris,Harris (D-CA),"HARRIS, Kamala Devi",100
,099912.jpg,,Republican,99912,,,,USA,donald-john-trump,,"TRUMP, Donald John",200
